source,text,link1,link2,favorite_count,is_retweet,id_str
Twitter for iPhone,"Don't give up Republican Senators, the World is watching: Repeal &amp; Replace...and go to 51 votes (nuke option), get Cross State Lines &amp; more.",,,105794,FALSE,8.91624E+17
Twitter for iPhone,"...they do NOTHING for us with North Korea, just talk. We will no longer allow this to continue. China could easily solve this problem!",,,98631,FALSE,8.91442E+17
Twitter for iPhone,"I am very disappointed in China. Our foolish past leaders have allowed them to make hundreds of billions of dollars a year in trade, yet...",,,100835,FALSE,8.9144E+17
Twitter for iPhone,"I love reading about all of the ""geniuses"" who were so instrumental in my election success. Problem is, most don't exist. #Fake News! MAGA",,,84958,FALSE,8.91437E+17
Twitter for iPhone,"Unless the Republican Senators are total quitters, Repeal &amp; Replace is not dead! Demand another vote before voting on any other bill!",,,91724,FALSE,8.91397E+17
Twitter for iPhone,U.S. Stock Market up almost 20% since Election!,,,106316,FALSE,8.91344E+17
Twitter for iPhone,"If a new HealthCare Bill is not approved quickly, BAILOUTS for Insurance Companies and BAILOUTS for Members of Congress will end very soon!",,,105977,FALSE,8.91334E+17
Twitter for iPhone,"After seven years of ""talking"" Repeal &amp; Replace, the people of our great country are still being forced to live with imploding ObamaCare!",,,79808,FALSE,8.91332E+17
Twitter for iPhone,"If the Senate Democrats ever got the chance, they would switch to a 51 majority vote in first minute. They are laughing at R's. MAKE CHANGE!",,,75304,FALSE,8.91264E+17
Twitter for iPhone,"....8 Dems totally control the U.S. Senate. Many great Republican bills will never pass, like Kate's Law and complete Healthcare. Get smart!",,,69941,FALSE,8.91262E+17
Twitter for iPhone,Republicans in the Senate will NEVER win if they don't go to a 51 vote majority NOW. They look like fools and are just wasting time......,,,72735,FALSE,8.9126E+17
Twitter for iPhone,"The very outdated filibuster rule must go. Budget reconciliation is killing R's in Senate. Mitch M, go to 51 Votes NOW and WIN. IT'S TIME!",,,71394,FALSE,8.91259E+17
Twitter for iPhone,"Republican Senate must get rid of 60 vote NOW! It is killing the R Party, allows 8 Dems to control country. 200 Bills sit in Senate. A JOKE!",,,69238,FALSE,8.91257E+17
Twitter for iPhone,"In other words, Russia was against Trump in the 2016 Election - and why not, I want strong military &amp; low oil prices. Witch Hunt! ",https://t.co/mMSxj4Su5z,,64352,FALSE,8.91254E+17
Media Studio,"We will defend our country, protect our communities and put the safety of the AMERICAN PEOPLE FIRST! Replay: ",https://t.co/dcZxPKOPZ9 ,https://t.co/0NGiIhGY18,62306,FALSE,8.91087E+17
Twitter for iPhone,I would like to thank Reince Priebus for his service and dedication to his country. We accomplished a lot together and I am proud of him!,,,80392,FALSE,8.91041E+17
Twitter for iPhone,...and a Great Leader. John has also done a spectacular job at Homeland Security. He has been a true star of my Administration,,,68141,FALSE,8.91039E+17
Twitter for iPhone,I am pleased to inform you that I have just named General/Secretary John F Kelly as White House Chief of Staff. He is a Great American....,,,92550,FALSE,8.91038E+17
Twitter for iPhone,Departing for Long Island now. An area under siege from #MS13 gang members. We will not rest until #MS13 is eradicated. #LESM ,https://t.co/GsgbBUXyHS,,58487,FALSE,8.90971E+17
Twitter for iPhone,"We will always ENFORCE our laws, PROTECT our borders, and SUPPORT our police! #LESMHarrisburg, Pennsylvania #FlashbackFriday #MS13 ",https://t.co/79Tskiv69j,,61928,FALSE,8.90968E+17
Twitter for iPhone,"...Even though parts of healthcare could pass at 51, some really good things need 60. So many great future bills &amp; budgets need 60 votes....",,,55083,FALSE,8.90935E+17
Twitter for iPhone,"If Republicans are going to pass great future legislation in the Senate, they must immediately go to a 51 vote majority, not senseless 60...",,,63016,FALSE,8.90931E+17
Twitter for iPhone,"3 Republicans and 48 Democrats let the American people down. As I said from the beginning, let ObamaCare implode, then deal. Watch!",,,93510,FALSE,8.90821E+17
Twitter for iPhone,"Go Republican Senators, Go! Get there after waiting for 7 years. Give America great healthcare!",,,72942,FALSE,8.90765E+17
Media Studio,It was my great HONOR to present our nation's highest award for a public safety officer - THE MEDAL OF VALOR to FIVE AMERICAN HEROES! ,https://t.co/j7ceXuBZ3f,,63449,FALSE,8.90706E+17
Media Studio,"Today, we gathered in the East Room to pay tribute to the HEROES whose courageous actions under fire saved so many lives in Alexandria, VA. ",https://t.co/it52TkLsye,,66850,FALSE,8.90687E+17
Twitter for iPhone,Join me live as we recognize the first responders to the June 14th shooting involving @SteveScalise. #TeamScalise ,https://t.co/qOolNmB65d ,https://t.co/6OCn9JfMAG,42795,FALSE,8.9065E+17
Twitter for iPhone,Big progress being made in ridding our country of MS-13 gang members and gang members in general. MAKE AMERICA SAFE AGAIN!,,,94495,FALSE,8.90642E+17
Twitter for iPhone,"...about then candidate Trump."" Catherine Herridge @FoxNews. So why doesn't Fake News report this? Witch Hunt! Purposely phony reporting.",,,54626,FALSE,8.90569E+17
Twitter for iPhone,"RT @townhallcom: ABC, NBC, And CBS Pretty Much Bury IT Scandal Engulfing Debbie Wasserman Schultz's Office ",https://t.co/PjbZ2TGIKb,,0,TRUE,8.90555E+17
Twitter for iPhone,"Come on Republican Senators, you can do it on Healthcare. After 7 years, this is your chance to shine! Don't let the American people down!",,,93357,FALSE,8.90533E+17
Twitter for iPhone,"Wow, the Failing @nytimes said about @foxandfriends ""....the most powerful T.V. show in America.""",,,55346,FALSE,8.90524E+17
Media Studio,"Thank you Foxconn, for investing $10 BILLION DOLLARS with the potential for up to 13K new jobs in Wisconsin! MadeInTheUSA???? ",https://t.co/jJghVeb63s,,91268,FALSE,8.90361E+17
Media Studio,Congratulations to Boys and Girls Nation. It was my great honor to welcome you to the WH today! Full Remarks: ,https://t.co/Pb5FTTOyWf ,https://t.co/U6tfV93dDG,50164,FALSE,8.90314E+17
Twitter for iPhone,IN AMERICA WE DON'T WORSHIP GOVERNMENT - WE WORSHIP GOD!??,https://t.co/jIejSgVnnA,,130606,FALSE,8.90261E+17
Twitter for iPhone,"...big dollars ($700,000) for his wife's political run from Hillary Clinton and her representatives. Drain the Swamp!",,,74489,FALSE,8.90208E+17
Twitter for iPhone,"Why didn't A.G. Sessions replace Acting FBI Director Andrew McCabe, a Comey friend who was in charge of Clinton investigation but got....",,,64237,FALSE,8.90207E+17
Twitter for iPhone,....victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. Thank you,,,143035,FALSE,8.90197E+17
Twitter for iPhone,....Transgender individuals to  serve in any capacity in the U.S. Military. Our military must be focused on decisive and overwhelming.....,,,138076,FALSE,8.90196E+17
Twitter for iPhone,"After consultation with my Generals and military experts, please be advised that the United States Government will not accept or allow......",,,127064,FALSE,8.90194E+17
Twitter for iPhone,"Senator @lisamurkowski of the Great State of Alaska really let the Republicans, and our country, down yesterday. Too bad!",,,59474,FALSE,8.90168E+17
Twitter for iPhone,The crowd in Ohio was amazing last night - broke all records. We all had a great time in a great State. Will be back soon!,,,76411,FALSE,8.90162E+17
Twitter for iPhone,RT @foxandfriends: Sen. John McCain making his return to the Senate ahead of health care vote ,https://t.co/VuojpRpcLM,,0,TRUE,8.90161E+17
Media Studio,People of Ohio are fantastic. Thank you so much. What an evening! ,https://t.co/KM0zoaULYH,,55306,FALSE,8.90069E+17
Media Studio,"It was my great honor to join our wonderful Veterans at AMVETS Post 44 in Youngstown, Ohio this evening. A grateful nation salutes you! ",https://t.co/RxobYHP1oR,,60918,FALSE,8.9006E+17
Twitter for iPhone,"Just arrived in Youngstown, Ohio with @FLOTUS Melania!#MakeAmericaGreatAgain??????",https://t.co/A1mrxSksR3 ,https://t.co/jWX9yBlX8z,52122,FALSE,8.89972E+17
Twitter for iPhone,.@SenJohnMcCain-Thank you for coming to D.C. for such a vital vote. Congrats to all Rep. We can now deliver grt healthcare to all Americans!,,,67710,FALSE,8.89929E+17
Twitter for iPhone,Joint Press Conference with Prime Minister Saad Hariri of Lebanon beginning shortly. Join us live!??,https://t.co/7pquWbEutn ,https://t.co/JHVHKgrPOY,26606,FALSE,8.89925E+17
Twitter for iPhone,"America's Labor Market Continues to Boom JOBS, JOBS, JOBS! ",https://t.co/LuOaR1Iz2e,,51470,FALSE,8.89872E+17
Media Studio,The American people have waited long enough. There has been enough talk and no action for seven years. Now is the time for action! ,https://t.co/VdTiYL0Ua7,,59918,FALSE,8.89868E+17
Twitter for iPhone,Will be traveling to the Great State of Ohio tonight. Big crowd expected. See you there!,,,69132,FALSE,8.89825E+17
Twitter for iPhone,This will be a very interesting day for HealthCare.The Dems are obstructionists but the Republicans can have a great victory for the people!,,,58404,FALSE,8.89822E+17
